depvar;genitive_type;por_length_words;pum_length_words;animacy;alpha_persistence_S;alpha_persistence_OF;alpha_persistence_NN;beta_persistence_S;beta_persistence_OF;beta_persistence_NN;TTR;por_thematicity_ptw;pum_thematicity_ptw;final_sibilancy;time;por_head_noun;pum_head_noun;register;filename;period;year;gen_phrase
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;2.45;2.45;no;-1.925451562;paper;OTHER;letters;1651acon.x2b;1650-1699;1651;the weaknesses of that paper
0;OF;5;5;non-animate;no;no;no;no;yes;yes;45;2.45;4.9;yes;-1.925451562;OTHER;OTHER;letters;1651acon.x2b;1650-1699;1651;the expressions that i can make of any esteeme of your favoures
0;OF;1;1;non-animate;no;no;no;no;no;yes;43;1.93;1.93;no;-1.905451562;OTHER;OTHER;letters;1653finc.x2b;1650-1699;1653;the choicest of his mercies
0;OF;2;1;non-animate;no;no;no;no;no;no;41;0.49;0.49;yes;-1.905451562;OTHER;sum;news;1653merc.n2b;1650-1699;1653;the sum of all intelligence
1;S;1;1;animate;no;yes;no;no;yes;no;46;0.49;1.94;no;-1.905451562;god;OTHER;news;1653merc.n2b;1650-1699;1653;gods justice
1;S;1;1;animate;no;no;no;no;no;yes;45;0.49;0.49;no;-1.905451562;OTHER;son;news;1653merc.n2b;1650-1699;1653;minesters son
1;S;2;2;animate;no;no;no;no;no;yes;28;0.49;0.97;no;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;weddalls troope quartering
1;S;1;1;animate;yes;no;no;yes;no;yes;33;0.49;4.86;no;-1.905451562;gentlemen;house;news;1653merc.n2b;1650-1699;1653;gentlemens house
0;OF;1;1;non-animate;no;yes;no;no;yes;no;41;0.49;0.49;no;-1.905451562;OTHER;defence;news;1653merc.n2b;1650-1699;1653;defence of the commonwealth
1;S;2;1;animate;yes;no;no;yes;no;yes;48;0.49;0.49;no;-1.905451562;OTHER;regiment;news;1653merc.n2b;1650-1699;1653;collonel overtons regiment
0;OF;1;1;animate;no;yes;no;no;yes;no;41;2.43;0.49;no;-1.905451562;people;information;news;1653merc.n2b;1650-1699;1653;information of the people
1;S;1;2;animate;no;no;yes;no;yes;yes;41;1.46;1.46;no;-1.905451562;queen;OTHER;news;1653merc.n2b;1650-1699;1653;the queens new buildings
0;OF;1;2;non-animate;no;no;no;no;yes;yes;36;0.49;1.46;no;-1.905451562;OTHER;day;news;1653merc.n2b;1650-1699;1653;the first day of aprill
0;OF;2;1;non-animate;no;yes;no;no;yes;yes;42;3.89;0.97;no;-1.905451562;parliament;authority;news;1653merc.n2b;1650-1699;1653;authority of this present parliament
0;OF;1;4;non-animate;no;no;no;no;yes;yes;32;0.97;1.46;no;-1.905451562;march;day;news;1653merc.n2b;1650-1699;1653;the six and twentieth day of march
0;OF;3;1;non-animate;no;no;no;no;yes;yes;43;0.49;0.97;yes;-1.905451562;OTHER;powers;news;1653merc.n2b;1650-1699;1653;the powers of the committees for obstructions
0;OF;4;1;non-animate;no;yes;no;no;yes;yes;38;1.46;1.46;yes;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;sale of any of the premises
0;OF;1;1;non-animate;no;yes;no;no;yes;no;34;1.94;1.46;yes;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;removing of obstructions
1;S;2;1;animate;no;yes;no;no;yes;yes;42;0.49;2.43;no;-1.905451562;family;OTHER;news;1653merc.n2b;1650-1699;1653;one families murder
0;OF;1;1;non-animate;no;yes;no;no;yes;no;36;2.91;0.49;no;-1.905451562;act;remainder;news;1653merc.n2b;1650-1699;1653;the remainder of the act
0;OF;2;1;non-animate;no;no;no;no;no;yes;44;0.49;0.49;no;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;that extremity of hard weather
0;OF;1;1;animate;yes;yes;no;yes;yes;yes;43;0.49;0.49;no;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;the family of an englishman
0;OF;3;1;non-animate;no;yes;no;no;yes;yes;41;1.94;0.49;yes;-1.905451562;justice;OTHER;news;1653merc.n2b;1650-1699;1653;the revivall of indendanes of justice
0;OF;1;1;non-animate;no;no;no;no;yes;no;41;2.43;0.49;no;-1.905451562;court;OTHER;news;1653merc.n2b;1650-1699;1653;the lusts of the court
0;OF;2;1;non-animate;no;no;no;no;no;no;38;0.49;0.49;yes;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;the selling of their places
1;S;1;1;animate;no;yes;no;no;yes;yes;38;0.49;0.49;no;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;murderers legs
0;OF;2;1;non-animate;no;no;no;no;yes;no;45;1.94;0.49;yes;-1.905451562;justice;OTHER;news;1653merc.n2b;1650-1699;1653;the footsteps of gods justice
0;OF;2;1;non-animate;no;yes;no;no;yes;no;43;1.65;1.65;no;-1.905451562;OTHER;end;letters;1653osbn.x2b;1650-1699;1653;the end of one journy
1;S;1;1;animate;no;no;no;no;yes;no;40;1.65;1.65;no;-1.905451562;mother;death;letters;1653osbn.x2b;1650-1699;1653;mothers death
1;S;1;3;non-animate;no;no;no;no;no;yes;10;0.61;0.61;no;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;glencairns trumpet and cook
1;S;1;1;animate;no;yes;no;no;yes;no;42;0.61;3.04;no;-1.895451562;emperor;OTHER;news;1654mer2.n2b;1650-1699;1654;emperors court
0;OF;1;1;animate;no;no;no;no;yes;yes;45;0.61;1.21;no;-1.895451562;mother;return;news;1654mer2.n2b;1650-1699;1654;the return of his mother
0;OF;3;1;animate;no;no;no;no;no;yes;41;0.61;1.21;no;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;the business of the earl of harcourt
0;OF;1;1;animate;no;no;no;no;no;yes;43;1.21;1.82;yes;-1.895451562;OTHER;behalf;news;1654mer2.n2b;1650-1699;1654;the behalf of the english
0;OF;1;1;animate;no;yes;no;no;yes;yes;41;3.04;1.82;yes;-1.895451562;dutch;behalf;news;1654mer2.n2b;1650-1699;1654;the behalf of the dutch
1;S;2;1;animate;no;yes;no;no;yes;yes;43;0.61;3.04;yes;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;the lord mayors court
0;OF;1;2;non-animate;no;yes;no;no;yes;yes;38;3.04;0.61;no;-1.895451562;court;hand;news;1654mer2.n2b;1650-1699;1654;the right hand of the court
0;OF;2;2;non-animate;no;yes;no;no;yes;yes;37;0.61;0.61;no;-1.895451562;OTHER;OTHER;news;1654mer2.n2b;1650-1699;1654;the broad seal of either commonwealth
0;OF;1;1;animate;no;yes;yes;no;yes;yes;38;3.04;1.82;yes;-1.895451562;dutch;behalf;news;1654mer2.n2b;1650-1699;1654;behalf of the dutch
0;OF;2;1;non-animate;yes;yes;no;yes;yes;yes;42;0.61;0.61;no;-1.895451562;army;absence;news;1654mer2.n2b;1650-1699;1654;the absence of our army
0;OF;1;1;non-animate;no;yes;no;no;yes;no;39;3.64;1.21;no;-1.895451562;day;work;news;1654mer2.n2b;1650-1699;1654;the work of this day
0;OF;1;1;non-animate;no;yes;no;no;yes;yes;42;1.21;0.61;no;-1.895451562;city;OTHER;news;1654mer2.n2b;1650-1699;1654;the magistrates of this city
1;S;1;1;animate;no;yes;no;no;yes;no;42;0.61;3.04;no;-1.895451562;bishop;OTHER;news;1654mer2.n2b;1650-1699;1654;the bishops court
0;OF;7;1;animate;no;no;no;no;yes;yes;44;0.61;0.61;no;-1.895451562;OTHER;name;news;1654mer2.n2b;1650-1699;1654;the name of their lievtenant general the earle of lignevile
0;OF;1;1;animate;no;yes;no;no;yes;no;45;2.43;1.21;no;-1.895451562;king;OTHER;news;1654mer2.n2b;1650-1699;1654;the coronation of the king
