depvar;depvar_binary;genitive_type;por_length_words;pum_length_words;animacy;alpha_persistence_S;alpha_persistence_OF;alpha_persistence_NN;beta_persistence_S;beta_persistence_OF;beta_persistence_NN;TTR;por_thematicity_ptw;pum_thematicity_ptw;final_sibilancy;time;por_head_noun;pum_head_noun;register;filename;period;year;gen_phrase
2;0;S;2;1;non-animate;no;no;no;no;no;yes;47;7.74;5.8;yes;-1.905451562;OTHER;OTHER;letters;1653finc.x2b;1650-1699;1653;14 dayes sicknesse
1;0;OF;1;3;non-animate;yes;no;no;yes;no;no;47;0.49;0.49;no;-1.905451562;town;ministers;news;1653merc.n2b;1650-1699;1653;the magistrates and ministers of the town
1;0;OF;1;1;non-animate;no;yes;no;no;yes;yes;44;0.49;0.97;no;-1.905451562;OTHER;use;news;1653merc.n2b;1650-1699;1653;the use of the navy
3;1;NN;1;1;non-animate;no;yes;no;no;yes;yes;43;0.97;2.43;no;-1.905451562;OTHER;court;news;1653merc.n2b;1650-1699;1653;NN-hampton court
3;1;NN;1;1;non-animate;no;no;yes;no;yes;yes;34;0.97;2.43;no;-1.905451562;OTHER;court;news;1653merc.n2b;1650-1699;1653;NN-hampton court
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;43;2.43;0.49;no;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;the manner of one families murder
1;0;OF;1;3;non-animate;no;no;no;no;yes;yes;41;0.97;0.49;no;-1.905451562;water;OTHER;news;1653merc.n2b;1650-1699;1653;the carrying and conveying of water
2;0;S;1;1;non-animate;no;yes;no;no;yes;yes;40;3.89;0.49;no;-1.905451562;parliament;OTHER;news;1653merc.n2b;1650-1699;1653;the parliaments printer
1;0;OF;3;1;non-animate;no;yes;no;no;yes;no;42;0.49;0.49;yes;-1.905451562;OTHER;OTHER;news;1653merc.n2b;1650-1699;1653;the introduction of more heavie taxes
3;1;NN;1;1;animate;no;yes;no;no;no;yes;39;1.65;1.65;no;-1.905451562;OTHER;OTHER;letters;1653osbn.x2b;1650-1699;1653;NN-god sake
1;0;OF;1;1;non-animate;no;no;no;no;yes;yes;38;1.82;1.82;no;-1.895451562;council;OTHER;news;1654mer2.n2b;1650-1699;1654;the lords of the council
1;0;OF;1;1;non-animate;no;yes;no;no;yes;no;44;1.82;1.82;no;-1.895451562;council;OTHER;news;1654mer2.n2b;1650-1699;1654;the lords of the council
1;0;OF;3;1;non-animate;no;yes;no;no;yes;yes;41;1.82;1.21;no;-1.895451562;company;OTHER;news;1654mer2.n2b;1650-1699;1654;the merchants of the east NN-india company
3;1;NN;2;1;non-animate;no;yes;no;no;yes;yes;41;0.61;1.82;no;-1.895451562;OTHER;company;news;1654mer2.n2b;1650-1699;1654;the east NN-india company
1;0;OF;1;2;non-animate;no;yes;no;no;yes;no;42;0.61;1.82;no;-1.895451562;parliament;OTHER;news;1654mer2.n2b;1650-1699;1654;the first sitting of the parliament
1;0;OF;1;1;non-animate;yes;yes;no;yes;yes;no;41;1.21;0.61;no;-1.895451562;city;OTHER;news;1654mer2.n2b;1650-1699;1654;the guard of the city
1;0;OF;1;2;non-animate;no;yes;no;no;yes;yes;44;0.61;3.04;yes;-1.895451562;OTHER;sides;news;1654mer2.n2b;1650-1699;1654;both sides of the streets
3;1;NN;1;1;non-animate;no;no;no;no;yes;no;45;1.21;0.61;no;-1.895451562;sea;OTHER;news;1654mer2.n2b;1650-1699;1654;the NN-sea coasts
